Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
Garcia,Carlos,51862,Private,Accountancy,Santa,92.61,Male
Garcia,Luisa,68139,Public,Psychology,Laoag,93.42,Female
Reyes,Carlos,86066,Private,Finance,Candon,92.97,Female
Mendoza,Pedro,61094,Public,Engineering,Baguio,94.41,Male
Torres,Ana,37910,Private,Sociology,Candon,88.11,Female
Torres,Rosa,47624,Public,History,Narvacan,93.33,Female
Cruz,Elena,97565,Private,Accountancy,San Fernando,92.59,Female
Rivera,Miguel,95799,Public,Sociology,Cervantes,85.05,Female
Flores,Miguel,63626,Private,Sociology,Santa,92.61,Male
Reyes,Luisa,91746,Public,History,Tagudin,95.27,Female
Santos,Carlos,45626,Private,Finance,Candon,85.43,Male
Flores,Luisa,55853,Public,History,Laoag,96.47,Male
Rivera,Juan,49971,Private,Biology,Narvacan,89.64,Male
Mendoza,Maria,46355,Public,Engineering,Santa,92.01,Male
Flores,Pedro,76851,Private,Economics,Baguio,86.27,Female
Reyes,Ana,55243,Public,Literature,Baguio,87.02,Male
Flores,Ana,37366,Private,Psychology,Baguio,95.42,Male
Santos,Maria,91367,Public,Engineering,Laoag,92.43,Female
Torres,Juan,66564,Private,Engineering,Narvacan,94.83,Female
Flores,Rosa,81481,Public,Psychology,Batac,97.01,Female
Lopez,Luisa,53161,Private,Sociology,Santa,97.14,Male
Gonzales,Elena,59611,Public,Sociology,Tagudin,97.03,Female
Rivera,Ana,68085,Private,Finance,Narvacan,94.63,Male
Lopez,Ana,84942,Public,Computer Science,Laoag,85.61,Female
Rivera,Rosa,65107,Private,Accountancy,Narvacan,88.65,Male
Cruz,Ana,45527,Public,Accountancy,Candon,97.97,Female
Torres,Elena,45039,Private,Literature,Laoag,97.18,Female
Cruz,Juan,30354,Public,Biology,Cervantes,92.34,Female
Gonzales,Pedro,77240,Private,Accountancy,Baguio,94.39,Female
Cruz,Luisa,39297,Public,Sociology,Candon,95.29,Male
Flores,Miguel,56534,Private,Engineering,Cervantes,86.74,Male
Mendoza,Rosa,89104,Public,Literature,Tagudin,93.75,Female
Flores,Elena,77675,Private,Computer Science,Candon,88.98,Male
Lopez,Luisa,54739,Public,Computer Science,Narvacan,94.89,Female
Rivera,Ana,91629,Private,Finance,Narvacan,99.28,Male
Cruz,Carlos,95485,Public,Economics,Batac,93.38,Male
Santos,Ana,85821,Private,Psychology,Vigan,90.05,Male
Mendoza,Pedro,45593,Public,Biology,Laoag,88.64,Female
Gonzales,Ana,64279,Private,Engineering,Batac,95.23,Female
Reyes,Elena,40737,Public,Engineering,Batac,97.5,Male
Mendoza,Ana,74665,Private,Psychology,Santa,89.94,Female
Flores,Ana,51943,Public,Engineering,Laoag,85.21,Female
Mendoza,Carlos,85450,Private,Sociology,San Fernando,86.43,Male
Mendoza,Pedro,69602,Public,Economics,Santa,86.28,Male
Santos,Luisa,81640,Private,Biology,Laoag,96.62,Female
Lopez,Elena,82769,Public,Economics,Cervantes,91.47,Female
Torres,Miguel,69418,Private,Biology,San Fernando,98.69,Female
Gonzales,Carlos,77086,Public,Biology,Vigan,93.79,Male
Reyes,Jose,55300,Private,Literature,San Fernando,99.19,Male
Rivera,Jose,63409,Public,Finance,Batac,86.65,Female
Rivera,Jose,90022,Private,Computer Science,Santa,87.13,Female
Lopez,Pedro,30882,Public,History,Batac,86.1,Female
Mendoza,Pedro,84563,Private,Engineering,Santa,97.33,Female
Gonzales,Pedro,99998,Public,Computer Science,Santa,99.6,Female
Reyes,Carlos,69029,Private,Economics,Tagudin,86.22,Female
Rivera,Rosa,30875,Public,Finance,Cervantes,91.18,Female
Gonzales,Carlos,55708,Private,Literature,Batac,95.64,Male
Mendoza,Maria,81627,Public,Finance,San Fernando,88.67,Female
Rivera,Pedro,79531,Private,Biology,Narvacan,91.1,Male
Santos,Miguel,72603,Public,Sociology,Vigan,91.17,Male
Torres,Jose,43287,Private,Economics,Narvacan,93.89,Male
Santos,Luisa,31219,Public,Psychology,Cervantes,88.54,Male
Flores,Jose,98538,Private,Accountancy,Narvacan,97.27,Female
Santos,Maria,47688,Public,Engineering,Batac,98.39,Female
Reyes,Jose,49861,Private,Psychology,Baguio,90.2,Male
Cruz,Carlos,34657,Public,Economics,Tagudin,96.24,Female
Cruz,Elena,84610,Private,Computer Science,Narvacan,88.24,Female
Mendoza,Elena,91876,Public,Sociology,Narvacan,99.55,Female
Rivera,Elena,90830,Private,Biology,San Fernando,94.36,Male
Mendoza,Ana,38521,Public,Sociology,Narvacan,94.17,Male
Reyes,Carlos,88567,Private,Sociology,Narvacan,91.53,Female
Santos,Rosa,63098,Public,Computer Science,Laoag,90.06,Female
Torres,Miguel,99391,Private,Economics,Candon,96.04,Male
Reyes,Elena,44657,Public,Computer Science,Cervantes,88,Female
Torres,Rosa,80721,Private,Sociology,Candon,86.31,Female
Flores,Ana,65231,Public,Literature,Laoag,88.01,Male
Rivera,Pedro,31641,Private,Economics,Narvacan,96.83,Female
Torres,Miguel,71624,Public,Engineering,Baguio,92.72,Female
Garcia,Ana,54542,Private,Biology,Cervantes,96.04,Female
Mendoza,Jose,34388,Public,Finance,Santa,97.48,Male
Cruz,Luisa,89899,Private,History,Tagudin,97.99,Female
Lopez,Pedro,89772,Public,Engineering,Cervantes,90.49,Male
Reyes,Carlos,59707,Private,Psychology,Vigan,99.82,Male
Rivera,Jose,84950,Public,Finance,Candon,87.68,Female
Lopez,Ana,91868,Private,Sociology,Narvacan,93.79,Female
Flores,Jose,76899,Public,Literature,Baguio,95.3,Male
Santos,Miguel,96213,Private,Biology,Narvacan,86.74,Male
Rivera,Maria,38479,Public,Psychology,Tagudin,94.3,Male
Gonzales,Juan,70476,Private,Engineering,Vigan,95.21,Female
Garcia,Luisa,39389,Public,Literature,Baguio,92.5,Male
Santos,Pedro,78079,Private,Economics,Tagudin,86.68,Male
Lopez,Pedro,84539,Public,Finance,Batac,97.37,Female
Santos,Luisa,74196,Private,History,Laoag,85.87,Male
Gonzales,Elena,61108,Public,Literature,Tagudin,88.99,Male
Cruz,Elena,70492,Private,Sociology,Vigan,92.35,Female
Cruz,Ana,69539,Public,History,Santa,88.37,Female
Rivera,Ana,67518,Private,Economics,Batac,93.13,Male
Flores,Miguel,53566,Public,Economics,Vigan,93.74,Male
Mendoza,Miguel,88320,Private,Engineering,Candon,86.16,Female
Gonzales,Maria,30116,Public,Economics,San Fernando,99.1,Female
Garcia,Elena,87065,Private,Finance,Batac,99.18,Male
Lopez,Maria,69364,Public,Engineering,Laoag,86.18,Male
Santos,Carlos,80305,Private,Biology,Narvacan,90.94,Male
Rivera,Luisa,97325,Public,Computer Science,Vigan,89.14,Female
Flores,Luisa,80536,Private,Computer Science,Laoag,94.22,Male
Cruz,Jose,64614,Public,Psychology,Batac,93.09,Male
Cruz,Jose,45996,Private,History,Vigan,97.29,Female
Torres,Jose,81946,Public,Accountancy,Narvacan,87.85,Female
Cruz,Luisa,72036,Private,Engineering,Vigan,93.46,Male
Reyes,Pedro,81958,Public,Finance,Batac,87,Male
Santos,Maria,61066,Private,Literature,Batac,90.52,Female
Reyes,Miguel,57051,Public,Engineering,Baguio,90.06,Female
Torres,Luisa,81600,Private,Computer Science,San Fernando,94.37,Male
Torres,Juan,64467,Public,Accountancy,Narvacan,91.54,Female
Lopez,Maria,81772,Private,Psychology,Cervantes,98.8,Female
Torres,Luisa,79132,Public,Computer Science,Baguio,92.17,Male
Garcia,Miguel,61544,Private,Psychology,Candon,88.92,Male
Garcia,Rosa,87374,Public,Engineering,Santa,85.32,Male
Mendoza,Elena,48261,Private,Economics,Laoag,94.27,Female
Cruz,Luisa,76134,Public,Accountancy,Baguio,96.78,Female
Garcia,Jose,83632,Private,Computer Science,Narvacan,92.45,Male
Mendoza,Miguel,94265,Public,Accountancy,Laoag,95.68,Female
Gonzales,Miguel,71890,Private,Sociology,Santa,99.39,Male
Santos,Jose,53555,Public,Computer Science,Candon,96.12,Female
Flores,Jose,94633,Private,Economics,Laoag,92.88,Male
Reyes,Miguel,56650,Public,Biology,Santa,99.69,Male
Flores,Ana,92641,Private,Literature,Vigan,93.22,Female
Lopez,Pedro,77643,Public,Accountancy,Baguio,86.55,Male
Garcia,Juan,37256,Private,Finance,Candon,95.8,Female
Cruz,Pedro,72589,Public,History,Batac,97.64,Female
Lopez,Elena,55441,Private,Computer Science,San Fernando,85.13,Male
Mendoza,Maria,65537,Public,Sociology,Baguio,85.72,Male
Flores,Ana,64989,Private,Computer Science,Tagudin,85.05,Female
Mendoza,Juan,34267,Public,History,Cervantes,92.81,Female
Reyes,Rosa,97665,Private,Sociology,Narvacan,94.59,Male
Garcia,Juan,89437,Public,Accountancy,Baguio,89.46,Female
Gonzales,Carlos,85232,Private,Accountancy,Baguio,98.69,Female
Reyes,Maria,43571,Public,Accountancy,Tagudin,96.12,Male
Flores,Ana,73839,Private,History,Batac,96.32,Male
Lopez,Maria,56028,Public,Sociology,Cervantes,88.4,Female
Lopez,Ana,38105,Private,History,Candon,97.57,Male
Mendoza,Carlos,62279,Public,Literature,Santa,94.55,Male
Reyes,Juan,93522,Private,Biology,Batac,96.51,Male
Flores,Miguel,60203,Public,Finance,San Fernando,88.12,Male
Lopez,Maria,70662,Private,Finance,Narvacan,91.64,Male
Torres,Elena,91743,Public,Engineering,Santa,92.58,Male
Lopez,Maria,69421,Private,Computer Science,Baguio,85.44,Male
Reyes,Elena,68987,Public,Psychology,Santa,95.53,Female
Flores,Maria,57230,Private,Accountancy,Baguio,94.93,Male
Mendoza,Elena,69235,Public,History,Batac,86.79,Male
Gonzales,Pedro,33909,Private,Biology,Tagudin,94.63,Female
Gonzales,Miguel,70191,Public,Computer Science,Vigan,99.08,Female
Reyes,Ana,34383,Private,Literature,Tagudin,94.63,Male
Torres,Jose,97758,Public,Accountancy,Baguio,92.95,Female
Garcia,Rosa,48862,Private,History,Narvacan,87.49,Female
Gonzales,Pedro,70907,Public,Accountancy,Batac,98.29,Male
Garcia,Maria,45163,Private,Psychology,Vigan,87.69,Female
Cruz,Luisa,96822,Public,Accountancy,Vigan,85.9,Male
Flores,Ana,77281,Private,Literature,Laoag,89.81,Male
Rivera,Jose,34907,Public,Accountancy,San Fernando,90.12,Male
Lopez,Rosa,44253,Private,Engineering,Narvacan,95.25,Male
Reyes,Ana,63169,Public,Economics,Laoag,89.25,Female
Torres,Carlos,52977,Private,Engineering,Vigan,97.77,Male
Santos,Elena,53055,Public,Engineering,San Fernando,89.39,Female
Mendoza,Juan,87051,Private,Accountancy,Cervantes,89.19,Female
Santos,Rosa,53952,Public,History,Vigan,85.75,Female
Reyes,Luisa,44944,Private,History,Narvacan,96.38,Male
Reyes,Miguel,45227,Public,Engineering,Laoag,97.86,Male
Garcia,Pedro,38320,Private,Psychology,Laoag,99.22,Female
Mendoza,Luisa,48938,Public,Engineering,Santa,92.29,Male
Cruz,Carlos,67567,Private,Finance,Narvacan,95.07,Female
Cruz,Pedro,97256,Public,Literature,Batac,97.43,Female
Flores,Maria,77489,Private,Accountancy,Baguio,88.69,Male
Reyes,Juan,68806,Public,Accountancy,Baguio,96.07,Female
Santos,Miguel,67826,Private,Computer Science,Candon,99.41,Female
Flores,Luisa,87433,Public,Computer Science,Tagudin,88.2,Female
Lopez,Elena,72493,Private,Biology,Narvacan,97.87,Female
Gonzales,Jose,74487,Public,Computer Science,Santa,89.06,Female
Santos,Pedro,93426,Private,Economics,Vigan,99.68,Male
Santos,Pedro,49325,Public,Finance,Santa,88.76,Female
Garcia,Miguel,92269,Private,Literature,Laoag,97.1,Female
Rivera,Ana,30046,Public,Sociology,Tagudin,90.22,Female
Gonzales,Juan,34610,Private,Literature,Santa,99.55,Male
Cruz,Pedro,52849,Public,Economics,Santa,89.81,Male
Garcia,Luisa,74578,Private,Literature,Candon,93.49,Female
Cruz,Maria,31585,Public,Accountancy,Cervantes,88.71,Female
Flores,Maria,99003,Private,Computer Science,Batac,98.45,Female
Cruz,Rosa,32656,Public,History,Narvacan,91.52,Female
Flores,Elena,52136,Private,Psychology,Tagudin,86.3,Female
Cruz,Maria,73710,Public,Engineering,Tagudin,87.8,Female
Mendoza,Carlos,62855,Private,Accountancy,Santa,87.85,Female
Cruz,Rosa,54940,Public,History,Santa,88.28,Female
Cruz,Jose,45114,Private,History,Candon,88.76,Female
Flores,Elena,98649,Public,Accountancy,San Fernando,88.86,Male
Rivera,Miguel,48921,Private,Economics,Baguio,94.19,Male
Garcia,Jose,97330,Public,Economics,Santa,87.29,Male
Lopez,Rosa,78266,Private,Engineering,San Fernando,89.05,Male
Cruz,Rosa,64352,Public,Sociology,Vigan,87.36,Female
Lopez,Maria,68513,Private,Literature,Santa,86.55,Female
Garcia,Miguel,83745,Public,Sociology,San Fernando,98.32,Female
Lopez,Jose,66944,Private,Literature,Candon,88.86,Female
Gonzales,Pedro,90183,Public,Literature,Candon,93.36,Male
Lopez,Pedro,46735,Private,History,Cervantes,90.06,Male
Torres,Jose,75268,Public,Literature,San Fernando,97.05,Male
Mendoza,Elena,93567,Private,Psychology,Santa,97.55,Male
Mendoza,Luisa,36433,Public,Finance,San Fernando,86.91,Female
Torres,Juan,36800,Private,Sociology,Santa,93.67,Female
Torres,Carlos,53836,Public,Economics,Laoag,92.25,Male
Santos,Juan,92450,Private,Finance,Cervantes,93.66,Female
Santos,Pedro,99549,Public,Finance,Vigan,90.39,Male
Mendoza,Elena,77398,Private,Biology,Laoag,89.44,Female
Torres,Ana,87218,Public,Literature,Vigan,96.24,Female
Santos,Elena,54752,Private,Economics,Laoag,93.21,Male
Santos,Carlos,84877,Public,Accountancy,Laoag,96.81,Female
Garcia,Ana,41768,Private,Biology,Batac,94.52,Female
Reyes,Rosa,93075,Public,Biology,Vigan,89.86,Male
Cruz,Luisa,46389,Private,History,Santa,99.45,Female
Flores,Carlos,66253,Public,Computer Science,Santa,99.68,Female
Mendoza,Rosa,31433,Private,History,San Fernando,91.95,Female
Torres,Juan,69413,Public,History,Santa,86.95,Male
Santos,Maria,51692,Private,History,Santa,97.83,Female
Cruz,Juan,32716,Public,Finance,Candon,95.15,Female
Reyes,Jose,88412,Private,History,Santa,98.27,Female
Garcia,Carlos,39389,Public,Psychology,Laoag,94.75,Male
Lopez,Juan,42281,Private,Psychology,Candon,97.93,Female
Torres,Elena,38916,Public,Sociology,Santa,87.98,Female
Rivera,Rosa,61093,Private,Economics,San Fernando,92.95,Male
Garcia,Miguel,34976,Public,Economics,San Fernando,95.82,Female
Santos,Pedro,51141,Private,Computer Science,Batac,88.4,Male
Reyes,Maria,86748,Public,Literature,Candon,85.52,Female
Gonzales,Juan,64158,Private,Psychology,Batac,92.28,Male
Santos,Ana,41789,Public,Computer Science,San Fernando,89.86,Female
Gonzales,Rosa,44785,Private,Psychology,Baguio,94.8,Female
Gonzales,Ana,45755,Public,Economics,Santa,95.9,Female
Reyes,Pedro,93264,Private,Literature,Laoag,89.57,Male
Santos,Pedro,89634,Public,Psychology,Tagudin,97.23,Male
Lopez,Ana,89819,Private,Sociology,Vigan,91.16,Male
Reyes,Pedro,49298,Public,Biology,Santa,96.89,Female
Reyes,Jose,90880,Private,Accountancy,Batac,88.86,Female
Cruz,Elena,87880,Public,Literature,Baguio,92.76,Male
Reyes,Elena,64868,Private,History,Batac,98.19,Female
Lopez,Jose,43426,Public,Finance,Santa,92.65,Female
Gonzales,Jose,59080,Private,Literature,Tagudin,97.25,Male
Rivera,Ana,35792,Public,Finance,Baguio,98.81,Female
Rivera,Miguel,83019,Private,Economics,Santa,97.31,Male
Lopez,Elena,61023,Public,Engineering,Santa,98.78,Male
Garcia,Jose,90901,Private,History,Batac,97.22,Female
Santos,Juan,90407,Public,Accountancy,Santa,97.27,Female
Mendoza,Pedro,60637,Private,Computer Science,Cervantes,98.02,Male
Reyes,Juan,44670,Public,Psychology,Vigan,89.5,Male
Gonzales,Maria,36919,Private,Accountancy,Laoag,90.24,Male
Mendoza,Miguel,35733,Public,Finance,Cervantes,87.82,Male
Mendoza,Miguel,74363,Private,Biology,Cervantes,95.52,Female
Reyes,Elena,31919,Public,Computer Science,Santa,88.93,Female
Garcia,Rosa,77799,Private,Finance,Candon,90.5,Male
Torres,Luisa,90852,Public,Psychology,Vigan,98.48,Male
Torres,Ana,76956,Private,History,Tagudin,88.75,Male
Torres,Maria,78042,Public,Biology,Batac,95.69,Male
Gonzales,Miguel,83912,Private,Computer Science,Narvacan,94.91,Male
Gonzales,Miguel,97271,Public,Psychology,Vigan,89.34,Female
Cruz,Ana,64647,Private,Sociology,Cervantes,94,Male
Cruz,Miguel,36449,Public,Computer Science,Laoag,99.76,Female
Flores,Juan,57409,Private,History,Baguio,97.84,Male
Rivera,Elena,34690,Public,Economics,Narvacan,90.39,Female
Torres,Miguel,63880,Private,Engineering,Baguio,90.65,Male
Torres,Ana,53374,Public,Computer Science,Candon,92.97,Male
Lopez,Elena,36593,Private,Engineering,Vigan,91.3,Female
Rivera,Maria,52571,Public,Psychology,Narvacan,85.09,Female
Flores,Pedro,76997,Private,Computer Science,Batac,88.77,Male
Garcia,Maria,95809,Public,Finance,Candon,86.01,Male
Mendoza,Jose,95953,Private,Engineering,Cervantes,90.47,Male
Flores,Carlos,40543,Public,Finance,Narvacan,95.94,Male
Torres,Rosa,82191,Private,Sociology,Batac,88.41,Male
Gonzales,Ana,31307,Public,Economics,Laoag,88.12,Female
Garcia,Ana,87999,Private,Accountancy,San Fernando,98.91,Female
Santos,Jose,66968,Public,Literature,Batac,89.97,Female
Gonzales,Maria,39350,Private,Sociology,Cervantes,86.76,Female
Gonzales,Rosa,35770,Public,Sociology,Baguio,86.72,Female
Cruz,Jose,66048,Private,Finance,Cervantes,86.74,Male
Flores,Luisa,44803,Public,History,Batac,90.22,Male
Cruz,Miguel,69330,Private,Economics,Baguio,92.91,Female
Flores,Juan,69219,Public,Sociology,Candon,97.99,Male
Garcia,Pedro,32245,Private,Psychology,Santa,92.36,Male
Cruz,Pedro,49395,Public,Accountancy,Baguio,93.03,Male
Torres,Ana,53313,Private,Economics,Vigan,86.07,Male
Santos,Carlos,32593,Public,Biology,Vigan,91.25,Male
Gonzales,Jose,76952,Private,Biology,Candon,89.93,Male
Mendoza,Elena,43412,Public,Biology,Candon,94.14,Female
Lopez,Juan,46457,Private,Literature,Vigan,93.35,Male
Torres,Pedro,41230,Public,Finance,Batac,91.49,Female
Rivera,Rosa,62761,Private,Psychology,Laoag,99.32,Male
Lopez,Carlos,91656,Public,Economics,Batac,96.17,Female
Rivera,Maria,68631,Private,Psychology,Laoag,95.36,Female
Cruz,Juan,79603,Public,History,Baguio,94.79,Male
Reyes,Jose,73926,Private,Finance,Candon,97.92,Female
Garcia,Juan,46583,Public,Psychology,Narvacan,93.97,Female
Flores,Pedro,32516,Private,Accountancy,Laoag,89.36,Male
Lopez,Ana,87074,Public,Sociology,Baguio,87.04,Male
Reyes,Miguel,30143,Private,Literature,Narvacan,90.53,Male
Santos,Luisa,36750,Public,Literature,Santa,86.44,Female
Santos,Ana,79238,Private,Finance,Baguio,95.77,Male
Flores,Jose,80556,Public,Literature,Narvacan,97.76,Male
Flores,Miguel,80236,Private,Sociology,Tagudin,88.42,Female
Flores,Rosa,56896,Public,Finance,Cervantes,85.54,Male
Santos,Pedro,82190,Private,History,Candon,87.92,Male
Mendoza,Rosa,63735,Public,History,Baguio,96.78,Female
Cruz,Elena,43597,Private,History,Batac,86.07,Female
Cruz,Jose,39362,Public,Finance,Tagudin,96.46,Male
Gonzales,Luisa,68240,Private,Engineering,Cervantes,96.16,Male
Flores,Juan,36703,Public,Psychology,Narvacan,97.21,Male
Gonzales,Rosa,67966,Private,Engineering,Vigan,98.58,Male
Gonzales,Elena,92010,Public,Computer Science,Narvacan,94.51,Male
Torres,Elena,96370,Private,History,Narvacan,90.91,Female
Lopez,Maria,95368,Public,Psychology,San Fernando,94.66,Female
Gonzales,Maria,45356,Private,Sociology,Candon,90.61,Male
Rivera,Jose,71438,Public,Sociology,Vigan,87.31,Female
Mendoza,Luisa,43168,Private,Literature,Batac,94.41,Male
Lopez,Pedro,35861,Public,Literature,Candon,90.43,Male
Torres,Pedro,30554,Private,Psychology,Vigan,92.09,Female
Torres,Rosa,65132,Public,Finance,Cervantes,85.84,Female
Torres,Elena,76911,Private,Sociology,Cervantes,89.27,Male
Flores,Elena,32875,Public,History,San Fernando,96.69,Female
Mendoza,Jose,50776,Private,Literature,Candon,98.47,Female
Flores,Maria,31468,Public,Finance,Tagudin,97.79,Male
Garcia,Jose,54155,Private,History,Vigan,85.74,Male
Reyes,Maria,86692,Public,Computer Science,Santa,90.76,Male
Flores,Pedro,30227,Private,History,Batac,88.6,Male
Flores,Ana,92001,Public,Accountancy,Narvacan,92.39,Male
Lopez,Pedro,81510,Private,Literature,Santa,95.9,Male
Garcia,Ana,83647,Public,Engineering,Baguio,92.65,Female
Santos,Rosa,90645,Private,Engineering,Vigan,93.21,Male
Gonzales,Pedro,60522,Public,Psychology,Laoag,95.58,Female
Lopez,Luisa,37761,Private,Biology,Vigan,93,Male
Reyes,Miguel,69397,Public,Psychology,San Fernando,88.39,Female
Cruz,Ana,94045,Private,History,Laoag,90.62,Female
Torres,Rosa,38961,Public,Engineering,San Fernando,99.07,Male
Rivera,Carlos,70910,Private,Psychology,Cervantes,89.94,Male
Santos,Elena,82679,Public,Finance,Santa,85.75,Male
Cruz,Elena,83119,Private,Accountancy,Vigan,95.52,Male
Torres,Elena,89614,Public,Biology,Santa,94.28,Female
Lopez,Elena,45763,Private,Biology,Vigan,93.37,Male
Santos,Luisa,31302,Public,Sociology,Vigan,95.12,Male
Garcia,Miguel,63535,Private,Accountancy,Cervantes,93.98,Male
Flores,Carlos,76632,Public,Sociology,Candon,90.05,Male
Garcia,Jose,42083,Private,Engineering,Candon,99.09,Female
Cruz,Pedro,46560,Public,Accountancy,San Fernando,95.52,Male
Garcia,Rosa,71715,Private,Psychology,Tagudin,91.47,Male
Flores,Jose,54643,Public,Economics,Santa,94.03,Male
Mendoza,Juan,67437,Private,Accountancy,San Fernando,92.88,Female
Santos,Luisa,53996,Public,Economics,Santa,86.73,Male
Reyes,Ana,73803,Private,Accountancy,Narvacan,97.08,Female
Garcia,Juan,81818,Public,History,San Fernando,98.89,Male
Rivera,Elena,67452,Private,Sociology,Santa,96.09,Female
Santos,Luisa,83908,Public,Accountancy,Tagudin,88.89,Female
Mendoza,Elena,97756,Private,Computer Science,Batac,92.19,Female
Reyes,Rosa,76110,Public,Biology,Baguio,94.88,Female
Flores,Ana,40028,Private,Psychology,Candon,87.68,Female
Lopez,Elena,83883,Public,Computer Science,Narvacan,99.21,Male
Gonzales,Pedro,91087,Private,History,Tagudin,86.53,Male
Flores,Ana,41528,Public,Computer Science,Laoag,97.01,Female
Reyes,Carlos,48980,Private,Literature,Santa,87.98,Male
Garcia,Juan,55863,Public,Biology,Baguio,90.06,Male
Mendoza,Jose,39586,Private,Computer Science,Vigan,85.26,Female
Torres,Maria,45727,Public,Engineering,Tagudin,85.22,Male
Cruz,Juan,51541,Private,History,Candon,98.24,Female
Rivera,Elena,83164,Public,Computer Science,San Fernando,88.06,Male
Reyes,Juan,89140,Private,Economics,Santa,98.89,Male
Rivera,Elena,51633,Public,Engineering,Cervantes,88.32,Male
Santos,Rosa,61885,Private,Biology,San Fernando,94.02,Male
Garcia,Miguel,50482,Public,Biology,Batac,94.28,Female
Rivera,Ana,67396,Private,Psychology,Narvacan,92.51,Male
Garcia,Jose,31721,Public,Psychology,Baguio,93.2,Female
Gonzales,Luisa,50936,Private,Accountancy,San Fernando,98.85,Female
Santos,Rosa,44768,Public,Biology,Baguio,85.01,Female
Flores,Ana,81551,Private,Biology,Santa,96.02,Female
Mendoza,Juan,32286,Public,Engineering,Candon,90.15,Female
Lopez,Juan,55476,Private,Economics,Batac,98.98,Female
Torres,Rosa,89524,Public,Psychology,Laoag,91.42,Female
Rivera,Elena,37099,Private,Economics,San Fernando,99.11,Female
Reyes,Elena,39156,Public,Finance,Baguio,90.65,Male
Cruz,Ana,31984,Private,Sociology,Laoag,86.74,Female
Cruz,Luisa,41025,Public,Accountancy,Santa,98.21,Male
Reyes,Jose,50685,Private,Finance,San Fernando,99.19,Male
Cruz,Juan,63704,Public,Biology,Cervantes,96.1,Male
Garcia,Ana,67129,Private,Engineering,Cervantes,97.35,Male
Mendoza,Luisa,64207,Public,Economics,San Fernando,98.88,Male
Cruz,Juan,65257,Private,Economics,Cervantes,99.29,Female
Cruz,Pedro,88398,Public,Engineering,San Fernando,91.42,Male
Reyes,Maria,64980,Private,Computer Science,Narvacan,95.44,Female
Reyes,Maria,43520,Public,Accountancy,Cervantes,85.86,Male
Reyes,Pedro,42948,Private,Psychology,Santa,96.91,Female
Mendoza,Luisa,76945,Public,History,Tagudin,92.68,Male
