ID,Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
211,Reyes,Miguel,45227,Public,Engineering,Laoag,97.86,Male
212,Garcia,Pedro,38320,Private,Psychology,Laoag,99.22,Female
213,Mendoza,Luisa,48938,Public,Engineering,Santa,92.29,Male
214,Cruz,Carlos,67567,Private,Finance,Narvacan,95.07,Female
215,Cruz,Pedro,97256,Public,Literature,Batac,97.43,Female
216,Flores,Maria,77489,Private,Accountancy,Baguio,88.69,Male
217,Reyes,Juan,68806,Public,Accountancy,Baguio,96.07,Female
218,Santos,Miguel,67826,Private,Computer Science,Candon,99.41,Female
219,Flores,Luisa,87433,Public,Computer Science,Tagudin,88.2,Female
220,Lopez,Elena,72493,Private,Biology,Narvacan,97.87,Female
221,Gonzales,Jose,74487,Public,Computer Science,Santa,89.06,Female
222,Santos,Pedro,93426,Private,Economics,Vigan,99.68,Male
223,Santos,Pedro,49325,Public,Finance,Santa,88.76,Female
224,Garcia,Miguel,92269,Private,Literature,Laoag,97.1,Female
225,Rivera,Ana,30046,Public,Sociology,Tagudin,90.22,Female
226,Gonzales,Juan,34610,Private,Literature,Santa,99.55,Male
227,Cruz,Pedro,52849,Public,Economics,Santa,89.81,Male
228,Garcia,Luisa,74578,Private,Literature,Candon,93.49,Female
229,Cruz,Maria,31585,Public,Accountancy,Cervantes,88.71,Female
230,Flores,Maria,99003,Private,Computer Science,Batac,98.45,Female
231,Cruz,Rosa,32656,Public,History,Narvacan,91.52,Female
232,Flores,Elena,52136,Private,Psychology,Tagudin,86.3,Female
233,Cruz,Maria,73710,Public,Engineering,Tagudin,87.8,Female
234,Mendoza,Carlos,62855,Private,Accountancy,Santa,87.85,Female
235,Cruz,Rosa,54940,Public,History,Santa,88.28,Female
236,Cruz,Jose,45114,Private,History,Candon,88.76,Female
237,Flores,Elena,98649,Public,Accountancy,San Fernando,88.86,Male
238,Rivera,Miguel,48921,Private,Economics,Baguio,94.19,Male
239,Garcia,Jose,97330,Public,Economics,Santa,87.29,Male
240,Lopez,Rosa,78266,Private,Engineering,San Fernando,89.05,Male
241,Cruz,Rosa,64352,Public,Sociology,Vigan,87.36,Female
242,Lopez,Maria,68513,Private,Literature,Santa,86.55,Female
243,Garcia,Miguel,83745,Public,Sociology,San Fernando,98.32,Female
244,Lopez,Jose,66944,Private,Literature,Candon,88.86,Female
245,Gonzales,Pedro,90183,Public,Literature,Candon,93.36,Male
246,Lopez,Pedro,46735,Private,History,Cervantes,90.06,Male
247,Torres,Jose,75268,Public,Literature,San Fernando,97.05,Male
248,Mendoza,Elena,93567,Private,Psychology,Santa,97.55,Male
249,Mendoza,Luisa,36433,Public,Finance,San Fernando,86.91,Female
250,Torres,Juan,36800,Private,Sociology,Santa,93.67,Female
251,Torres,Carlos,53836,Public,Economics,Laoag,92.25,Male
252,Santos,Juan,92450,Private,Finance,Cervantes,93.66,Female
253,Santos,Pedro,99549,Public,Finance,Vigan,90.39,Male
254,Mendoza,Elena,77398,Private,Biology,Laoag,89.44,Female
255,Torres,Ana,87218,Public,Literature,Vigan,96.24,Female
256,Santos,Elena,54752,Private,Economics,Laoag,93.21,Male
257,Santos,Carlos,84877,Public,Accountancy,Laoag,96.81,Female
258,Garcia,Ana,41768,Private,Biology,Batac,94.52,Female
259,Reyes,Rosa,93075,Public,Biology,Vigan,89.86,Male
260,Cruz,Luisa,46389,Private,History,Santa,99.45,Female
261,Flores,Carlos,66253,Public,Computer Science,Santa,99.68,Female
262,Mendoza,Rosa,31433,Private,History,San Fernando,91.95,Female
263,Torres,Juan,69413,Public,History,Santa,86.95,Male
264,Santos,Maria,51692,Private,History,Santa,97.83,Female
265,Cruz,Juan,32716,Public,Finance,Candon,95.15,Female
266,Reyes,Jose,88412,Private,History,Santa,98.27,Female
267,Garcia,Carlos,39389,Public,Psychology,Laoag,94.75,Male
268,Lopez,Juan,42281,Private,Psychology,Candon,97.93,Female
269,Torres,Elena,38916,Public,Sociology,Santa,87.98,Female
270,Rivera,Rosa,61093,Private,Economics,San Fernando,92.95,Male
271,Garcia,Miguel,34976,Public,Economics,San Fernando,95.82,Female
272,Santos,Pedro,51141,Private,Computer Science,Batac,88.4,Male
273,Reyes,Maria,86748,Public,Literature,Candon,85.52,Female
274,Gonzales,Juan,64158,Private,Psychology,Batac,92.28,Male
275,Santos,Ana,41789,Public,Computer Science,San Fernando,89.86,Female
276,Gonzales,Rosa,44785,Private,Psychology,Baguio,94.8,Female
277,Gonzales,Ana,45755,Public,Economics,Santa,95.9,Female
278,Reyes,Pedro,93264,Private,Literature,Laoag,89.57,Male
279,Santos,Pedro,89634,Public,Psychology,Tagudin,97.23,Male
280,Lopez,Ana,89819,Private,Sociology,Vigan,91.16,Male
281,Reyes,Pedro,49298,Public,Biology,Santa,96.89,Female
282,Reyes,Jose,90880,Private,Accountancy,Batac,88.86,Female
283,Cruz,Elena,87880,Public,Literature,Baguio,92.76,Male
284,Reyes,Elena,64868,Private,History,Batac,98.19,Female
285,Lopez,Jose,43426,Public,Finance,Santa,92.65,Female
286,Gonzales,Jose,59080,Private,Literature,Tagudin,97.25,Male
287,Rivera,Ana,35792,Public,Finance,Baguio,98.81,Female
288,Rivera,Miguel,83019,Private,Economics,Santa,97.31,Male
289,Lopez,Elena,61023,Public,Engineering,Santa,98.78,Male
290,Garcia,Jose,90901,Private,History,Batac,97.22,Female
291,Santos,Juan,90407,Public,Accountancy,Santa,97.27,Female
292,Mendoza,Pedro,60637,Private,Computer Science,Cervantes,98.02,Male
293,Reyes,Juan,44670,Public,Psychology,Vigan,89.5,Male
294,Gonzales,Maria,36919,Private,Accountancy,Laoag,90.24,Male
295,Mendoza,Miguel,35733,Public,Finance,Cervantes,87.82,Male
296,Mendoza,Miguel,74363,Private,Biology,Cervantes,95.52,Female
297,Reyes,Elena,31919,Public,Computer Science,Santa,88.93,Female
298,Garcia,Rosa,77799,Private,Finance,Candon,90.5,Male
299,Torres,Luisa,90852,Public,Psychology,Vigan,98.48,Male
300,Torres,Ana,76956,Private,History,Tagudin,88.75,Male
301,Torres,Maria,78042,Public,Biology,Batac,95.69,Male
302,Gonzales,Miguel,83912,Private,Computer Science,Narvacan,94.91,Male
303,Gonzales,Miguel,97271,Public,Psychology,Vigan,89.34,Female
304,Cruz,Ana,64647,Private,Sociology,Cervantes,94,Male
305,Cruz,Miguel,36449,Public,Computer Science,Laoag,99.76,Female
306,Flores,Juan,57409,Private,History,Baguio,97.84,Male
307,Rivera,Elena,34690,Public,Economics,Narvacan,90.39,Female
308,Torres,Miguel,63880,Private,Engineering,Baguio,90.65,Male
309,Torres,Ana,53374,Public,Computer Science,Candon,92.97,Male
310,Lopez,Elena,36593,Private,Engineering,Vigan,91.3,Female
311,Rivera,Maria,52571,Public,Psychology,Narvacan,85.09,Female
312,Flores,Pedro,76997,Private,Computer Science,Batac,88.77,Male
313,Garcia,Maria,95809,Public,Finance,Candon,86.01,Male
314,Mendoza,Jose,95953,Private,Engineering,Cervantes,90.47,Male
315,Flores,Carlos,40543,Public,Finance,Narvacan,95.94,Male
316,Torres,Rosa,82191,Private,Sociology,Batac,88.41,Male
317,Gonzales,Ana,31307,Public,Economics,Laoag,88.12,Female
318,Garcia,Ana,87999,Private,Accountancy,San Fernando,98.91,Female
319,Santos,Jose,66968,Public,Literature,Batac,89.97,Female
320,Gonzales,Maria,39350,Private,Sociology,Cervantes,86.76,Female
321,Gonzales,Rosa,35770,Public,Sociology,Baguio,86.72,Female
322,Cruz,Jose,66048,Private,Finance,Cervantes,86.74,Male
323,Flores,Luisa,44803,Public,History,Batac,90.22,Male
324,Cruz,Miguel,69330,Private,Economics,Baguio,92.91,Female
325,Flores,Juan,69219,Public,Sociology,Candon,97.99,Male
326,Garcia,Pedro,32245,Private,Psychology,Santa,92.36,Male
327,Cruz,Pedro,49395,Public,Accountancy,Baguio,93.03,Male
328,Torres,Ana,53313,Private,Economics,Vigan,86.07,Male
329,Santos,Carlos,32593,Public,Biology,Vigan,91.25,Male
330,Gonzales,Jose,76952,Private,Biology,Candon,89.93,Male
331,Mendoza,Elena,43412,Public,Biology,Candon,94.14,Female
332,Lopez,Juan,46457,Private,Literature,Vigan,93.35,Male
333,Torres,Pedro,41230,Public,Finance,Batac,91.49,Female
334,Rivera,Rosa,62761,Private,Psychology,Laoag,99.32,Male
335,Lopez,Carlos,91656,Public,Economics,Batac,96.17,Female
336,Rivera,Maria,68631,Private,Psychology,Laoag,95.36,Female
337,Cruz,Juan,79603,Public,History,Baguio,94.79,Male
338,Reyes,Jose,73926,Private,Finance,Candon,97.92,Female
339,Garcia,Juan,46583,Public,Psychology,Narvacan,93.97,Female
340,Flores,Pedro,32516,Private,Accountancy,Laoag,89.36,Male
341,Lopez,Ana,87074,Public,Sociology,Baguio,87.04,Male
342,Reyes,Miguel,30143,Private,Literature,Narvacan,90.53,Male
343,Santos,Luisa,36750,Public,Literature,Santa,86.44,Female
344,Santos,Ana,79238,Private,Finance,Baguio,95.77,Male
345,Flores,Jose,80556,Public,Literature,Narvacan,97.76,Male
346,Flores,Miguel,80236,Private,Sociology,Tagudin,88.42,Female
347,Flores,Rosa,56896,Public,Finance,Cervantes,85.54,Male
348,Santos,Pedro,82190,Private,History,Candon,87.92,Male
349,Mendoza,Rosa,63735,Public,History,Baguio,96.78,Female
350,Cruz,Elena,43597,Private,History,Batac,86.07,Female
351,Cruz,Jose,39362,Public,Finance,Tagudin,96.46,Male
352,Gonzales,Luisa,68240,Private,Engineering,Cervantes,96.16,Male
353,Flores,Juan,36703,Public,Psychology,Narvacan,97.21,Male
354,Gonzales,Rosa,67966,Private,Engineering,Vigan,98.58,Male
355,Gonzales,Elena,92010,Public,Computer Science,Narvacan,94.51,Male
356,Torres,Elena,96370,Private,History,Narvacan,90.91,Female
357,Lopez,Maria,95368,Public,Psychology,San Fernando,94.66,Female
358,Gonzales,Maria,45356,Private,Sociology,Candon,90.61,Male
359,Rivera,Jose,71438,Public,Sociology,Vigan,87.31,Female
360,Mendoza,Luisa,43168,Private,Literature,Batac,94.41,Male
361,Lopez,Pedro,35861,Public,Literature,Candon,90.43,Male
362,Torres,Pedro,30554,Private,Psychology,Vigan,92.09,Female
363,Torres,Rosa,65132,Public,Finance,Cervantes,85.84,Female
364,Torres,Elena,76911,Private,Sociology,Cervantes,89.27,Male
365,Flores,Elena,32875,Public,History,San Fernando,96.69,Female
366,Mendoza,Jose,50776,Private,Literature,Candon,98.47,Female
367,Flores,Maria,31468,Public,Finance,Tagudin,97.79,Male
368,Garcia,Jose,54155,Private,History,Vigan,85.74,Male
369,Reyes,Maria,86692,Public,Computer Science,Santa,90.76,Male
370,Flores,Pedro,30227,Private,History,Batac,88.6,Male
371,Flores,Ana,92001,Public,Accountancy,Narvacan,92.39,Male
372,Lopez,Pedro,81510,Private,Literature,Santa,95.9,Male
373,Garcia,Ana,83647,Public,Engineering,Baguio,92.65,Female
374,Santos,Rosa,90645,Private,Engineering,Vigan,93.21,Male
375,Gonzales,Pedro,60522,Public,Psychology,Laoag,95.58,Female
376,Lopez,Luisa,37761,Private,Biology,Vigan,93,Male
377,Reyes,Miguel,69397,Public,Psychology,San Fernando,88.39,Female
378,Cruz,Ana,94045,Private,History,Laoag,90.62,Female
379,Torres,Rosa,38961,Public,Engineering,San Fernando,99.07,Male
380,Rivera,Carlos,70910,Private,Psychology,Cervantes,89.94,Male
381,Santos,Elena,82679,Public,Finance,Santa,85.75,Male
382,Cruz,Elena,83119,Private,Accountancy,Vigan,95.52,Male
383,Torres,Elena,89614,Public,Biology,Santa,94.28,Female
384,Lopez,Elena,45763,Private,Biology,Vigan,93.37,Male
385,Santos,Luisa,31302,Public,Sociology,Vigan,95.12,Male
386,Garcia,Miguel,63535,Private,Accountancy,Cervantes,93.98,Male
387,Flores,Carlos,76632,Public,Sociology,Candon,90.05,Male
388,Garcia,Jose,42083,Private,Engineering,Candon,99.09,Female
389,Cruz,Pedro,46560,Public,Accountancy,San Fernando,95.52,Male
390,Garcia,Rosa,71715,Private,Psychology,Tagudin,91.47,Male
391,Flores,Jose,54643,Public,Economics,Santa,94.03,Male
392,Mendoza,Juan,67437,Private,Accountancy,San Fernando,92.88,Female
393,Santos,Luisa,53996,Public,Economics,Santa,86.73,Male
394,Reyes,Ana,73803,Private,Accountancy,Narvacan,97.08,Female
395,Garcia,Juan,81818,Public,History,San Fernando,98.89,Male
396,Rivera,Elena,67452,Private,Sociology,Santa,96.09,Female
397,Santos,Luisa,83908,Public,Accountancy,Tagudin,88.89,Female
398,Mendoza,Elena,97756,Private,Computer Science,Batac,92.19,Female
399,Reyes,Rosa,76110,Public,Biology,Baguio,94.88,Female
400,Flores,Ana,40028,Private,Psychology,Candon,87.68,Female
401,Lopez,Elena,83883,Public,Computer Science,Narvacan,99.21,Male
402,Gonzales,Pedro,91087,Private,History,Tagudin,86.53,Male
403,Flores,Ana,41528,Public,Computer Science,Laoag,97.01,Female
404,Reyes,Carlos,48980,Private,Literature,Santa,87.98,Male
405,Garcia,Juan,55863,Public,Biology,Baguio,90.06,Male
406,Mendoza,Jose,39586,Private,Computer Science,Vigan,85.26,Female
407,Torres,Maria,45727,Public,Engineering,Tagudin,85.22,Male
408,Cruz,Juan,51541,Private,History,Candon,98.24,Female
409,Rivera,Elena,83164,Public,Computer Science,San Fernando,88.06,Male
